Target,TIC,TOI,P,P_Err,Duration (hrs),Dur_Err (hrs),Duration (days),Depth (ppm),Depth_err (ppm),Tc_BTJD,Tc_Err,WJs_index,TIC ID,RA,Dec,TFOPWG Disposition,Orbital Period (TOI),Planet Radius (TOI),Parameter Source,Pipeline_match_status
262746281.01,262746281,603.01,16.1797573,3.29e-05,6.5,0.916,0.2708333333,2600,3.4803,2559.3016,0.0011,0,262746281,09:24:25.88,05:45:57.8,CP,16.1798603,7.89958,qlp-s61-ffi,matched_tic_toi
281731203.01,281731203,685.01,11.6334541,6.2e-06,5.08,0.249,0.2117083333,3480,1.67838,2570.4258,0.0008,1,281731203,10:52:07.75,00:29:35.4,KP,11.6332127,10.264,qlp-s46-tois,matched_tic_toi
266593143.01,266593143,1283.01,10.337891,0.000413,4.07,0.028126,0.1693907917,17448,106.783325,1719.4758,0.0003,4,266593143,21:38:08.63,30:29:17.48,KP,10.338505,11.8729,qlp-82-ffi,matched_tic_toi
199376584.01,199376584,1456.01,18.7121918,2.71e-05,6.03,0.064,0.251125,5830,0.275985,2440.7394,0.0004,6,199376584,20:26:57.87,33:44:39.8,CP,18.712253,10.3984,qlp-s82-ffi,matched_tic_toi
302773669.01,302773669,1573.01,21.2163979,1.59e-05,3.09,0.086,0.1288145833,5752,1.17015,1809.0710,0.0004,7,302773669,02:49:44.79,71:45:11.12,KP,21.216464,13.1431,qlp-s79-ffi,matched_tic_toi
441739020.01,441739020,1670.01,40.7501378,3.49e-05,5.25,0.246,0.2185416667,6279,0.580105,2932.6354,0.0005,8,441739020,17:16:04.14,72:09:40.25,CP,40.7501028,10.1271,qlp-s82-ffi,matched_tic_toi
9348006.01,9348006,1775.01,10.2405483,1.4e-05,3.54,0.091706,0.1474166667,9950,332.93307,2635.3643,0.0007,10,9348006,10:00:27.62,39:27:27.9,CP,10.2405483,8.69623,qlp-s48-tois,matched_tic_toi
142381532.01,142381532,1823.01,38.8134887,0.0001994,5.95,0.065547,0.2479208333,9061,116.06,1715.1796,0.0007,11,142381532,13:04:52.73,63:45:11.74,CP,38.8135498,8.20695,qlp-s75-ffi,matched_tic_toi
207468071.01,207468071,1836.01,20.3808658,3.54e-05,6.58,0.09172,0.2742125,2398,38.264,1933.1657,0.0008,12,207468071,16:23:37.9,54:41:24.28,CP,20.380782374176,8.2227994125947,spoc-s14-s78-b0A-PC,matched_tic_toi
229742722.01,229742722,1859.01,63.4834243,0.0001873,4.9,0.39,0.2040833333,5638,0.480094,2868.8416,0.0013,13,229742722,18:39:19.62,69:31:22.34,CP,63.4839358,11.1495,qlp-s82-ffi,matched_tic_toi
91987762.01,91987762,1898.01,45.5221234,8.89e-05,4.02,0.111253,0.1676666667,3070,52.787655,2531.5640,0.0005,14,91987762,09:38:13.27,23:32:48.29,CP,45.522145556061,9.7055757075362,spoc-s01-s72-b0A-CP,matched_tic_toi
88992642.01,88992642,2145.01,10.2610378,0.000983,7.44,0.11006,0.3099885275,1907,65.91038,2013.2801,0.0013,19,88992642,17:35:01.94,40:41:42.15,CP,10.2611329,12.2521,qlp-s52-tois,matched_tic_toi
298663873.01,298663873,2180.01,260.2185123,0.0046183,31.41,0.0792,1.308916667,2400,500.0,2611.4455,0.0033,21,298663873,18:31:46.47,56:39:02.44,CP,260.17400608713,11.319242344301,spoc-s14-s60-b0A-CP,matched_tic_toi
328934463.01,328934463,2485.01,11.2347982,5.37e-05,6.22,0.759,0.2590416667,4780,1.45362,2658.8123,0.0029,25,328934463,13:40:49.04,22:59:02.29,CP,11.2347982,12.196,qlp-s50-tois,matched_tic_toi
97568467.01,97568467,2497.01,10.6555503,2.57e-05,7.69,0.126981,0.3205833333,2040,62.743526,2535.4231,0.0011,26,97568467,06:00:15.02,11:53:02.61,CP,10.655694026032,11.76308569741,spoc-s01-s72-b0A-CP,matched_tic_toi
169461816.01,169461816,3563.01,17.87394,0.001229,7.33,0.554,0.3053333333,8930,2.92525,1729.1959,0.002,28,169461816,19:49:48.9,41:00:39.67,KP,17.855232163638,14.597675311923,spoc-s14-s55-b0A-KP,matched_tic_toi
308073360.01,308073360,3837.01,11.8886495,2.73e-05,4.8,0.41,0.200125,7800,3.6296,2613.3798,0.001,31,308073360,10:10:39.91,24:16:23.24,CP,11.8886495,11.0233,qlp-s48-tois,matched_tic_toi
